<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20170222;190000;136.3500000;136.8400000;136.2100000;136.6800000
GAZP;60;20170224;110000;136.5100000;136.7000000;135.7000000;136.3400000
GAZP;60;20170224;120000;136.4000000;136.4900000;135.8700000;136.0300000
GAZP;60;20170224;130000;136.0400000;136.1300000;135.6000000;135.9200000
GAZP;60;20170224;140000;135.9000000;136.1600000;135.6500000;136.1600000
GAZP;60;20170224;150000;136.1600000;137.1600000;136.1600000;136.4300000
GAZP;60;20170224;160000;136.4600000;136.6500000;136.1500000;136.2800000
GAZP;60;20170224;170000;136.3000000;136.6900000;136.2700000;136.6300000
GAZP;60;20170224;180000;136.6300000;137.2000000;136.2400000;136.7500000
GAZP;60;20170224;190000;136.7800000;137.0000000;136.3300000;136.7500000
GAZP;60;20170227;110000;137.1500000;137.4800000;137.0300000;137.2000000
GAZP;60;20170227;120000;137.2000000;137.2000000;136.3300000;136.5000000
GAZP;60;20170227;130000;136.4600000;136.6200000;135.8000000;136.3700000
GAZP;60;20170227;140000;136.3700000;136.5900000;135.8800000;136.0000000
GAZP;60;20170227;150000;136.0400000;136.2300000;135.9000000;136.0700000
GAZP;60;20170227;160000;136.0400000;136.1700000;135.6300000;135.8000000
GAZP;60;20170227;170000;135.8000000;135.8300000;135.2900000;135.5200000
GAZP;60;20170227;180000;135.5000000;135.6300000;135.1100000;135.3300000
GAZP;60;20170227;190000;135.3500000;135.8000000;135.0700000;135.0700000
GAZP;60;20170228;110000;135.7000000;135.8900000;134.6000000;134.7800000
GAZP;60;20170228;120000;134.8000000;135.6000000;134.5000000;135.1400000
GAZP;60;20170228;130000;135.1500000;135.1500000;134.5500000;134.5700000
GAZP;60;20170228;140000;134.5700000;134.7000000;134.0100000;134.0100000
GAZP;60;20170228;150000;134.0100000;134.0600000;133.5500000;133.5800000
GAZP;60;20170228;160000;133.5800000;133.6500000;133.0500000;133.3200000
GAZP;60;20170228;170000;133.3200000;133.6300000;133.1100000;133.5000000
GAZP;60;20170228;180000;133.5300000;133.6100000;132.5500000;132.6100000
GAZP;60;20170228;190000;132.6100000;134.0000000;132.0000000;134.0000000
GAZP;60;20170301;110000;133.4500000;134.9900000;133.0000000;134.0500000
GAZP;60;20170301;120000;134.0600000;134.5000000;133.0600000;133.7100000
