<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
GAZP;60;20180221;180000;142.6800000;143.3800000;142.3100000;142.9900000
GAZP;60;20180221;190000;142.9800000;144.0000000;142.6300000;144.0000000
GAZP;60;20180222;110000;143.4300000;143.8400000;142.8000000;143.4400000
GAZP;60;20180222;120000;143.4400000;145.0800000;143.4300000;144.5000000
GAZP;60;20180222;130000;144.5500000;144.6900000;143.7200000;143.8600000
GAZP;60;20180222;140000;143.9100000;144.2400000;143.1900000;143.6000000
GAZP;60;20180222;150000;143.6200000;143.6500000;142.6300000;143.1100000
GAZP;60;20180222;160000;143.1000000;144.4700000;143.0500000;144.0800000
GAZP;60;20180222;170000;144.0300000;144.8000000;143.8200000;144.5700000
GAZP;60;20180222;180000;144.5400000;145.2300000;144.2200000;145.0900000
GAZP;60;20180222;190000;145.0900000;145.9700000;144.8700000;145.9700000
GAZP;60;20180226;110000;148.0700000;149.9800000;147.3200000;148.7000000
GAZP;60;20180226;120000;148.7300000;148.8500000;147.7000000;148.0500000
GAZP;60;20180226;130000;148.1000000;148.1200000;146.7500000;146.7800000
GAZP;60;20180226;140000;146.8100000;147.6800000;146.6000000;147.2300000
GAZP;60;20180226;150000;147.2800000;147.3600000;146.7000000;146.9000000
GAZP;60;20180226;160000;146.9000000;147.4700000;146.8200000;147.1700000
GAZP;60;20180226;170000;147.1900000;147.3600000;146.7500000;147.0600000
GAZP;60;20180226;180000;147.0100000;147.0300000;146.6300000;146.8000000
GAZP;60;20180226;190000;146.8000000;147.0000000;146.4200000;147.0000000
GAZP;60;20180227;110000;147.2000000;147.4900000;145.5500000;145.6800000
GAZP;60;20180227;120000;145.6400000;146.0500000;144.8500000;145.2600000
GAZP;60;20180227;130000;145.3000000;146.3400000;145.0100000;145.7400000
GAZP;60;20180227;140000;145.7900000;147.1800000;145.7900000;146.9400000
GAZP;60;20180227;150000;146.9800000;147.1700000;146.5000000;146.9600000
GAZP;60;20180227;160000;146.9500000;147.1000000;146.7200000;146.9600000
GAZP;60;20180227;170000;146.9200000;147.1300000;146.6900000;146.8000000
GAZP;60;20180227;180000;146.8000000;146.9900000;145.9200000;146.3200000
GAZP;60;20180227;190000;146.3100000;146.7600000;146.1700000;146.5000000
GAZP;60;20180228;110000;145.5000000;145.7500000;144.8700000;145.0700000
GAZP;60;20180228;120000;145.0800000;145.1000000;143.3600000;143.8000000
GAZP;60;20180228;130000;143.8300000;143.8700000;143.0000000;143.1800000
GAZP;60;20180228;140000;143.1400000;143.6200000;142.8400000;143.3100000
GAZP;60;20180228;150000;143.3500000;143.6000000;142.9200000;143.6000000
GAZP;60;20180228;160000;143.6000000;143.6000000;143.1800000;143.5200000
GAZP;60;20180228;170000;143.5100000;143.6000000;142.9300000;143.0000000
GAZP;60;20180228;180000;143.0000000;143.8600000;142.5500000;143.8500000
GAZP;60;20180228;190000;143.8500000;143.9100000;142.2500000;143.1600000
GAZP;60;20180301;110000;141.0000000;142.0000000;139.3900000;141.9800000
GAZP;60;20180301;120000;141.9100000;141.9500000;139.8000000;140.3400000
GAZP;60;20180301;130000;140.3600000;140.6900000;139.3900000;139.8800000
GAZP;60;20180301;140000;139.8800000;140.3900000;139.3900000;139.9500000
GAZP;60;20180301;150000;139.9400000;139.9600000;139.3900000;139.4500000
GAZP;60;20180301;160000;139.4400000;140.6000000;139.4400000;140.2000000
GAZP;60;20180301;170000;140.2100000;140.8700000;140.1100000;140.7800000
GAZP;60;20180301;180000;140.8300000;140.8300000;139.5000000;139.9000000
GAZP;60;20180301;190000;139.8900000;140.4700000;139.7700000;140.1000000
GAZP;60;20180302;110000;139.6300000;139.9800000;139.3900000;139.6500000
GAZP;60;20180302;120000;139.6500000;140.5000000;139.6500000;140.3500000
